#OTUID	taxonomy	confidence
56bbbd46e388c23f6b791259a8fd8409	k__Bacteria	0.948988872026474
ab9cf1209b8c083c19b9a2852b42d59e	Unassigned	0.831043953667504
a510cc38301975b144066db33f896047	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus	0.897755330214028
5547b1c1b64a9743fb290fcf44a37264	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__	0.897860815247763
5b524c4c1a0f121c80029a62d3859aad	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Winogradskyella; s__	0.876575932350421
1b395bca029c159df8cf021d98349041	k__Bacteria	0.94649390711593
a3f48f97ab3981459100901c6cfc3f2b	k__Bacteria	0.947269092766644
7d93afbf50377b01fb8b04e27ab6163d	k__Bacteria	0.935777123090727
3962cc4dbd1a184dc1d34a6abd3f0aa1	k__Bacteria	0.930512005790214
9421593663ab9522782b8b698c63b3d2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__	0.995139064003124
5cb682a7eab4fdb662c65c07c1e4b2bf	Unassigned	0.876429805758078
260ba50164b6bf91f68851fbec22a039	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	0.941562459875356
d38fd7f695d67af40a4e274548daccbe	Unassigned	0.910978479140213
60b424e15ce829ffb33c89ac53fbd203	k__Bacteria	0.962290837034546
c4c684e3598d01e5b9f660645b25ec27	k__Bacteria	0.927964065188138
5df04570b776fa65c3d5dda3ce1e84c0	Unassigned	0.895145586043324
6fad7f01169b5f382aea497a0360c078	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	0.999959827629009
0bcfe8edb35f2d4b4b116d4b031b4086	k__Bacteria	0.901994783186448
a797626abb0dd62cd47ac52a6f7895fe	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfosarcina; s__	0.999703980881858
5d90d6a21914834935e91ee60265c846	k__Bacteria	0.935155977891796
1453245d9633c5aae4a09ef596cd6d54	k__Bacteria	0.972259821107203
622c720b4019d4f355ecf4e71b52a6a3	k__Bacteria	0.941158745522418
78f55f0db26bc4aab3594a064a60b533	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__	0.999869508681997
12184926b3f0fea4b8d4317200569b53	k__Bacteria	0.932753708513625
8dd150f4c832c111b68bf4c12846dfa9	k__Bacteria; p__[Caldithrix]; c__KSB1; o__GW-22; f__; g__; s__	0.990237236925464
46cf2811ec41217ec5f5fb1d514e453c	k__Bacteria	0.931911887510218
cf40a0f07052ab33b2f2f19be2493642	Unassigned	0.809969716813649
bc29ddc55068731ff5ddb056e4366ab5	k__Bacteria	0.938567003283507
b4fd40b1e1447df3204a0a90fe27e80b	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.966433947553421
